"","state","grade","population","timestamp","Actual.Margin","region","College.completion","Trump.Won"
"1","Virginia","A+","lv","14:57:58  1 Nov 2016",-5.32119536288304,"South",0.38,"False"
"2","Florida","A","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"3","Pennsylvania","B-","rv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"4","Florida","A","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"5","California","A","lv","14:57:58  1 Nov 2016",-30.1092930661184,"West",0.33,"False"
"6","North Carolina","A","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"7","Florida","A","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"8","Florida","A+","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"9","Pennsylvania","B","lv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"10","Pennsylvania","A","lv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"11","Missouri","","lv","14:57:58  1 Nov 2016",18.6371170029249,"Midwest",0.29,"True"
"12","Colorado","B","lv","14:57:58  1 Nov 2016",-4.90553537149757,"West",0.4,"False"
"13","Arizona","B","lv","14:57:58  1 Nov 2016",3.50272607871209,"West",0.29,"True"
"14","North Carolina","B","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"15","Missouri","","lv","14:57:58  1 Nov 2016",18.6371170029249,"Midwest",0.29,"True"
"16","New Hampshire","A","lv","14:57:58  1 Nov 2016",-0.367595687737136,"Northeast",0.36,"False"
"17","Pennsylvania","","lv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"18","Ohio","","lv","14:57:58  1 Nov 2016",8.12957439906616,"Midwest",0.28,"True"
"19","North Carolina","","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"20","Wisconsin","","lv","14:57:58  1 Nov 2016",0.764343195067454,"Midwest",0.3,"True"
"21","North Carolina","A","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"22","New Mexico","","lv","14:57:58  1 Nov 2016",-8.21313284539138,"West",0.27,"False"
"23","Arizona","","lv","14:57:58  1 Nov 2016",3.50272607871209,"West",0.29,"True"
"24","Virginia","","lv","14:57:58  1 Nov 2016",-5.32119536288304,"South",0.38,"False"
"25","Iowa","A-","lv","14:57:58  1 Nov 2016",9.4068380510986,"Midwest",0.28,"True"
"26","Virginia","B","lv","14:57:58  1 Nov 2016",-5.32119536288304,"South",0.38,"False"
"27","Minnesota","A","lv","14:57:58  1 Nov 2016",-1.52013048027158,"Midwest",0.35,"False"
"28","Texas","B","lv","14:57:58  1 Nov 2016",8.99942759832342,"South",0.29,"True"
"29","Florida","B+","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"30","Florida","","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"31","Maine","B","lv","14:57:58  1 Nov 2016",-2.96044934866638,"Northeast",0.31,"False"
"32","Georgia","C-","lv","14:57:58  1 Nov 2016",5.13134269741018,"South",0.31,"True"
"33","Nevada","A","lv","14:57:58  1 Nov 2016",-2.41712836051662,"West",0.24,"False"
"34","New Hampshire","B+","lv","14:57:58  1 Nov 2016",-0.367595687737136,"Northeast",0.36,"False"
"35","Texas","C+","lv","14:57:58  1 Nov 2016",8.99942759832342,"South",0.29,"True"
"36","Pennsylvania","B+","lv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"37","California","C-","lv","14:57:58  1 Nov 2016",-30.1092930661184,"West",0.33,"False"
"38","Florida","B-","rv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"39","Colorado","","lv","14:57:58  1 Nov 2016",-4.90553537149757,"West",0.4,"False"
"40","Florida","C-","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"41","Georgia","A-","lv","14:57:58  1 Nov 2016",5.13134269741018,"South",0.31,"True"
"42","Florida","B","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"43","Georgia","A","rv","14:57:58  1 Nov 2016",5.13134269741018,"South",0.31,"True"
"44","North Carolina","B-","rv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"45","Virginia","A-","lv","14:57:58  1 Nov 2016",-5.32119536288304,"South",0.38,"False"
"46","Florida","B+","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"47","Kentucky","","lv","14:57:58  1 Nov 2016",29.8374502182523,"South",0.24,"True"
"48","Georgia","A-","lv","14:57:58  1 Nov 2016",5.13134269741018,"South",0.31,"True"
"49","Ohio","B","lv","14:57:58  1 Nov 2016",8.12957439906616,"Midwest",0.28,"True"
"50","Vermont","B-","lv","14:57:58  1 Nov 2016",-26.4083512395776,"Northeast",0.37,"False"
"51","Idaho","B","lv","14:57:58  1 Nov 2016",31.7694185482177,"West",0.27,"True"
"52","Texas","C-","lv","14:57:58  1 Nov 2016",8.99942759832342,"South",0.29,"True"
"53","Pennsylvania","C-","lv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"54","North Carolina","B+","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"55","North Carolina","A-","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"56","Virginia","C-","lv","14:57:58  1 Nov 2016",-5.32119536288304,"South",0.38,"False"
"57","South Carolina","C-","lv","14:57:58  1 Nov 2016",14.2659128960303,"South",0.27,"True"
"58","New York","C-","lv","14:57:58  1 Nov 2016",-22.4904561356522,"Northeast",0.36,"False"
"59","Ohio","C-","lv","14:57:58  1 Nov 2016",8.12957439906616,"Midwest",0.28,"True"
"60","Nevada","","lv","14:57:58  1 Nov 2016",-2.41712836051662,"West",0.24,"False"
"61","Maine","B+","lv","14:57:58  1 Nov 2016",-2.96044934866638,"Northeast",0.31,"False"
"62","Michigan","C-","lv","14:57:58  1 Nov 2016",0.22303326912931,"Midwest",0.29,"True"
"63","Virginia","B-","lv","14:57:58  1 Nov 2016",-5.32119536288304,"South",0.38,"False"
"64","North Carolina","C-","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"65","Missouri","B+","lv","14:57:58  1 Nov 2016",18.6371170029249,"Midwest",0.29,"True"
"66","Colorado","C-","lv","14:57:58  1 Nov 2016",-4.90553537149757,"West",0.4,"False"
"67","Missouri","A+","lv","14:57:58  1 Nov 2016",18.6371170029249,"Midwest",0.29,"True"
"68","Arizona","C-","lv","14:57:58  1 Nov 2016",3.50272607871209,"West",0.29,"True"
"69","North Carolina","B","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"70","Kansas","C-","lv","14:57:58  1 Nov 2016",20.6022110736051,"Midwest",0.33,"True"
"71","Illinois","","lv","14:57:58  1 Nov 2016",-17.063613624968,"Midwest",0.34,"False"
"72","Indiana","A+","lv","14:57:58  1 Nov 2016",19.1651937616592,"Midwest",0.26,"True"
"73","Florida","C+","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"74","Wisconsin","B+","lv","14:57:58  1 Nov 2016",0.764343195067454,"Midwest",0.3,"True"
"75","Wisconsin","C-","lv","14:57:58  1 Nov 2016",0.764343195067454,"Midwest",0.3,"True"
"76","Michigan","A-","lv","14:57:58  1 Nov 2016",0.22303326912931,"Midwest",0.29,"True"
"77","Florida","","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"78","Utah","C-","lv","14:57:58  1 Nov 2016",18.0793332331651,"West",0.33,"True"
"79","California","A","lv","14:57:58  1 Nov 2016",-30.1092930661184,"West",0.33,"False"
"80","Nevada","","lv","14:57:58  1 Nov 2016",-2.41712836051662,"West",0.24,"False"
"81","Nevada","B-","rv","14:57:58  1 Nov 2016",-2.41712836051662,"West",0.24,"False"
"82","Minnesota","B+","lv","14:57:58  1 Nov 2016",-1.52013048027158,"Midwest",0.35,"False"
"83","New Mexico","C-","lv","14:57:58  1 Nov 2016",-8.21313284539138,"West",0.27,"False"
"84","Iowa","C-","lv","14:57:58  1 Nov 2016",9.4068380510986,"Midwest",0.28,"True"
"85","Illinois","B","lv","14:57:58  1 Nov 2016",-17.063613624968,"Midwest",0.34,"False"
"86","South Dakota","","lv","14:57:58  1 Nov 2016",29.7933222190098,"Midwest",0.28,"True"
"87","New Hampshire","B","lv","14:57:58  1 Nov 2016",-0.367595687737136,"Northeast",0.36,"False"
"88","Texas","C+","lv","14:57:58  1 Nov 2016",8.99942759832342,"South",0.29,"True"
"89","Montana","B+","lv","14:57:58  1 Nov 2016",20.4227321094163,"West",0.31,"True"
"90","Illinois","C-","lv","14:57:58  1 Nov 2016",-17.063613624968,"Midwest",0.34,"False"
"91","Washington","A+","lv","14:57:58  1 Nov 2016",-15.7059998751891,"West",0.35,"False"
"92","Illinois","B-","lv","14:57:58  1 Nov 2016",-17.063613624968,"Midwest",0.34,"False"
"93","Florida","C+","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"94","Utah","C+","lv","14:57:58  1 Nov 2016",18.0793332331651,"West",0.33,"True"
"95","Nevada","C-","lv","14:57:58  1 Nov 2016",-2.41712836051662,"West",0.24,"False"
"96","Nevada","B","lv","14:57:58  1 Nov 2016",-2.41712836051662,"West",0.24,"False"
"97","Pennsylvania","A+","lv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"98","North Carolina","B+","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"99","Kentucky","C+","lv","14:57:58  1 Nov 2016",29.8374502182523,"South",0.24,"True"
"100","New Hampshire","B","lv","14:57:58  1 Nov 2016",-0.367595687737136,"Northeast",0.36,"False"
"101","Arizona","","lv","14:57:58  1 Nov 2016",3.50272607871209,"West",0.29,"True"
"102","Pennsylvania","B","lv","14:57:58  1 Nov 2016",0.718387122620499,"Northeast",0.31,"True"
"103","Idaho","C+","lv","14:57:58  1 Nov 2016",31.7694185482177,"West",0.27,"True"
"104","Utah","C+","lv","14:57:58  1 Nov 2016",18.0793332331651,"West",0.33,"True"
"105","Massachusetts","B+","lv","14:57:58  1 Nov 2016",-27.1967064515799,"Northeast",0.43,"False"
"106","North Carolina","A","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"107","Utah","B","lv","14:57:58  1 Nov 2016",18.0793332331651,"West",0.33,"True"
"108","Massachusetts","C-","lv","14:57:58  1 Nov 2016",-27.1967064515799,"Northeast",0.43,"False"
"109","Florida","B","lv","14:57:58  1 Nov 2016",1.19862561078568,"South",0.29,"True"
"110","New Hampshire","A+","lv","14:57:58  1 Nov 2016",-0.367595687737136,"Northeast",0.36,"False"
"111","New York","A","lv","14:57:58  1 Nov 2016",-22.4904561356522,"Northeast",0.36,"False"
"112","North Carolina","A-","lv","14:57:58  1 Nov 2016",3.65522852797094,"South",0.31,"True"
"113","Maine","C","lv","14:57:58  1 Nov 2016",-2.96044934866638,"Northeast",0.31,"False"
"114","Louisiana","B+","lv","14:57:58  1 Nov 2016",19.6391185550548,"South",0.24,"True"
"115","Minnesota","C-","lv","14:57:58  1 Nov 2016",-1.52013048027158,"Midwest",0.35,"False"
"116","Ohio","A-","lv","14:57:58  1 Nov 2016",8.12957439906616,"Midwest",0.28,"True"
"117","Nevada","B","lv","14:57:58  1 Nov 2016",-2.41712836051662,"West",0.24,"False"
"118","Washington","C-","lv","14:57:58  1 Nov 2016",-15.7059998751891,"West",0.35,"False"
"119","Ohio","A","lv","14:57:58  1 Nov 2016",8.12957439906616,"Midwest",0.28,"True"
