FIPStxt,Stabr,Area_name,PCTPOVALL_2018
00000,US,United States,13.1
01000,AL,Alabama,16.8
01001,AL,Autauga County,13.8
01003,AL,Baldwin County,9.8
01005,AL,Barbour County,30.9
01007,AL,Bibb County,21.8
01009,AL,Blount County,13.2
01011,AL,Bullock County,42.5
01013,AL,Butler County,24.5
01015,AL,Calhoun County,19.5
01017,AL,Chambers County,18.7
01019,AL,Cherokee County,16.3
01021,AL,Chilton County,17.3
01023,AL,Choctaw County,22.1
01025,AL,Clarke County,22.8
01027,AL,Clay County,17.6
01029,AL,Cleburne County,16.0
01031,AL,Coffee County,13.8
01033,AL,Colbert County,13.8
01035,AL,Conecuh County,24.4
01037,AL,Coosa County,18.9
01039,AL,Covington County,19.9
01041,AL,Crenshaw County,19.5
01043,AL,Cullman County,14.5
01045,AL,Dale County,16.2
01047,AL,Dallas County,31.4
01049,AL,DeKalb County,21.3
01051,AL,Elmore County,11.2
01053,AL,Escambia County,23.6
01055,AL,Etowah County,17.5
01057,AL,Fayette County,23.5
01059,AL,Franklin County,19.2
01061,AL,Geneva County,21.3
01063,AL,Greene County,30.1
01065,AL,Hale County,25.6
01067,AL,Henry County,17.9
01069,AL,Houston County,16.5
01071,AL,Jackson County,19.7
01073,AL,Jefferson County,16.1
01075,AL,Lamar County,17.4
01077,AL,Lauderdale County,14.0
01079,AL,Lawrence County,19.3
01081,AL,Lee County,19.0
01083,AL,Limestone County,11.4
01085,AL,Lowndes County,25.1
01087,AL,Macon County,30.2
01089,AL,Madison County,11.9
01091,AL,Marengo County,24.0
01093,AL,Marion County,20.2
01095,AL,Marshall County,18.3
01097,AL,Mobile County,20.8
01099,AL,Monroe County,21.9
01101,AL,Montgomery County,20.1
01103,AL,Morgan County,13.2
01105,AL,Perry County,35.3
01107,AL,Pickens County,23.1
01109,AL,Pike County,23.6
01111,AL,Randolph County,19.7
01113,AL,Russell County,21.7
01115,AL,St. Clair County,12.0
01117,AL,Shelby County,8.0
01119,AL,Sumter County,34.7
01121,AL,Talladega County,19.3
01123,AL,Tallapoosa County,19.7
01125,AL,Tuscaloosa County,16.8
01127,AL,Walker County,17.9
01129,AL,Washington County,17.6
01131,AL,Wilcox County,33.4
01133,AL,Winston County,18.6
02000,AK,Alaska,11.1
02013,AK,Aleutians East Borough,15.5
02016,AK,Aleutians West Census Area,10.0
02020,AK,Anchorage Borough,9.5
02050,AK,Bethel Census Area,32.7
02060,AK,Bristol Bay Borough,11.2
02068,AK,Denali Borough,6.9
02070,AK,Dillingham Census Area,22.0
02090,AK,Fairbanks North Star Borough,8.6
02100,AK,Haines Borough,10.5
02105,AK,Hoonah-Angoon Census Area,17.2
