,question_id,poll_id,state,pollster,grade,sample_size,population,start_date,end_date,Biden,Trump
1,136283,72621,Iowa,Public Policy Polling,B,871,v,11/1/2020,11/2/2020,49,48
2,136322,72647,Pennsylvania,Susquehanna Polling & Research Inc.,C,499,lv,11/1/2020,11/2/2020,48.4,49.2
3,136491,72722,Florida,Opinion Savvy/InsiderAdvantage,B-,400,lv,11/1/2020,11/2/2020,47,48.2
4,136544,72762,Montana,Change Research,C-,920,lv,10/29/2020,11/2/2020,45,50
5,136602,72801,Maine,Change Research,C-,1024,lv,10/29/2020,11/2/2020,52,40
6,136341,72653,Arizona,Ipsos,B-,610,lv,10/27/2020,11/2/2020,50,48
7,136342,72653,Arizona,Ipsos,B-,610,lv,10/27/2020,11/2/2020,50,47
8,136547,72765,Florida,Swayable,D-,1261,lv,10/27/2020,11/2/2020,53,45.5
9,136552,72770,North Carolina,Swayable,D-,690,lv,10/27/2020,11/2/2020,52.3,46.4
10,136555,72773,Pennsylvania,Swayable,D-,1107,lv,10/27/2020,11/2/2020,49.9,48.4
11,136556,72774,Texas,Swayable,D-,1151,lv,10/27/2020,11/2/2020,47.2,51.2
12,136208,72579,Georgia,Opinion Savvy/InsiderAdvantage,B-,500,lv,11/1/2020,11/1/2020,46.1,48.1
13,136358,72661,Georgia,Landmark Communications,B,500,lv,11/1/2020,11/1/2020,46,50.1
14,136287,72623,Illinois,Research Co.,B-,450,lv,10/31/2020,11/1/2020,55,38
15,136288,72624,Michigan,Research Co.,B-,450,lv,10/31/2020,11/1/2020,50,43
16,136289,72625,Minnesota,Research Co.,B-,450,lv,10/31/2020,11/1/2020,52,43
17,136290,72626,New Jersey,Research Co.,B-,450,lv,10/31/2020,11/1/2020,56,38
18,136291,72627,New York,Research Co.,B-,450,lv,10/31/2020,11/1/2020,61,33
19,136292,72628,Ohio,Research Co.,B-,450,lv,10/31/2020,11/1/2020,47,47
20,136293,72629,Pennsylvania,Research Co.,B-,450,lv,10/31/2020,11/1/2020,50,44
21,136294,72630,Wisconsin,Research Co.,B-,450,lv,10/31/2020,11/1/2020,50,42
22,136312,72640,Pennsylvania,Rasmussen Reports/Pulse Opinion Research,C+,800,lv,10/31/2020,11/1/2020,50,47
23,136318,72643,Ohio,Rasmussen Reports/Pulse Opinion Research,C+,800,lv,10/31/2020,11/1/2020,45,49
24,136308,72637,Florida,AYTM,,517,lv,10/30/2020,11/1/2020,45,43
25,136309,72638,Pennsylvania,AYTM,,340,lv,10/30/2020,11/1/2020,51,49
26,136310,72639,Georgia,AYTM,,380,lv,10/30/2020,11/1/2020,52,48
27,136044,72491,Florida,Susquehanna Polling & Research Inc.,C,400,lv,10/29/2020,11/1/2020,46,47
28,136205,72576,Wisconsin,Civiqs,B/C,789,lv,10/29/2020,11/1/2020,51,47
29,136206,72577,Iowa,Civiqs,B/C,853,lv,10/29/2020,11/1/2020,49,48
30,136207,72578,Ohio,Civiqs,B/C,1136,lv,10/29/2020,11/1/2020,48,49
31,136210,72580,Colorado,Keating Research/OnSight Public Affairs/Melanson,B/C,502,lv,10/29/2020,11/1/2020,53,41
32,136324,72649,Arizona,Marist College,A+,717,lv,10/29/2020,11/1/2020,48,48
33,136325,72649,Arizona,Marist College,A+,988,rv,10/29/2020,11/1/2020,48,47
34,136326,72650,Pennsylvania,Marist College,A+,772,lv,10/29/2020,11/1/2020,51,46
35,136329,72650,Pennsylvania,Marist College,A+,1020,rv,10/29/2020,11/1/2020,50,46
36,136497,72726,Arizona,Change Research,C-,409,lv,10/29/2020,11/1/2020,50,47
37,136498,72727,Florida,Change Research,C-,806,lv,10/29/2020,11/1/2020,51,48
38,136499,72728,Michigan,Change Research,C-,383,lv,10/29/2020,11/1/2020,51,44
39,136500,72729,North Carolina,Change Research,C-,473,lv,10/29/2020,11/1/2020,49,47
40,136501,72730,Pennsylvania,Change Research,C-,699,lv,10/29/2020,11/1/2020,50,46
41,136502,72731,Wisconsin,Change Research,C-,553,lv,10/29/2020,11/1/2020,53,45
42,136536,72756,Iowa,Change Research,C-,1084,lv,10/29/2020,11/1/2020,47,47
43,136264,72599,Pennsylvania,Monmouth University,A+,502,rv,10/28/2020,11/1/2020,50,45
44,136265,72599,Pennsylvania,Monmouth University,A+,502,lv,10/28/2020,11/1/2020,51,44
45,136266,72599,Pennsylvania,Monmouth University,A+,502,lv,10/28/2020,11/1/2020,50,45
46,136336,72651,California,David Binder Research,B/C,800,lv,10/28/2020,11/1/2020,62,31
47,136345,72655,Ohio,Quinnipiac University,B+,1440,lv,10/28/2020,11/1/2020,47,43
48,136346,72656,Florida,Quinnipiac University,B+,1657,lv,10/28/2020,11/1/2020,47,42
49,136066,72505,Wisconsin,Ipsos,B-,696,lv,10/27/2020,11/1/2020,53,45
50,136067,72505,Wisconsin,Ipsos,B-,696,lv,10/27/2020,11/1/2020,53,43
51,136069,72507,Pennsylvania,Ipsos,B-,673,lv,10/27/2020,11/1/2020,52,46
52,136070,72507,Pennsylvania,Ipsos,B-,673,lv,10/27/2020,11/1/2020,51,45
53,136071,72508,Michigan,Ipsos,B-,654,lv,10/27/2020,11/1/2020,53,45
54,136073,72508,Michigan,Ipsos,B-,654,lv,10/27/2020,11/1/2020,53,43
55,136212,72581,North Carolina,Data for Progress,B-,908,lv,10/27/2020,11/1/2020,50,48
56,136216,72583,Texas,Data for Progress,B-,926,lv,10/27/2020,11/1/2020,49,48
57,136218,72584,Colorado,Data for Progress,B-,709,lv,10/27/2020,11/1/2020,54,42
58,136220,72585,Arizona,Data for Progress,B-,1195,lv,10/27/2020,11/1/2020,50,47
59,136228,72590,Virginia,Data for Progress,B-,690,lv,10/27/2020,11/1/2020,54,43
60,136229,72591,Alabama,Data for Progress,B-,1045,lv,10/27/2020,11/1/2020,38,58
61,136351,72658,Florida,Ipsos,B-,670,lv,10/27/2020,11/1/2020,51,47
62,136361,72658,Florida,Ipsos,B-,670,lv,10/27/2020,11/1/2020,50,46
63,136352,72659,North Carolina,Ipsos,B-,707,lv,10/27/2020,11/1/2020,50,48
64,136362,72659,North Carolina,Ipsos,B-,707,lv,10/27/2020,11/1/2020,49,48
65,136488,72719,Pennsylvania,Data for Progress,B-,1417,lv,10/27/2020,11/1/2020,52,45
66,136489,72720,Nevada,Data for Progress,B-,1442,lv,10/27/2020,11/1/2020,51,44
67,136490,72721,Florida,Data for Progress,B-,1202,lv,10/27/2020,11/1/2020,51,48
68,136492,72723,Kansas,Data for Progress,B-,1121,lv,10/27/2020,11/1/2020,41,55
69,136494,72724,South Carolina,Data for Progress,B-,880,lv,10/27/2020,11/1/2020,44,53
70,136512,72738,Georgia,Data for Progress,B-,1036,lv,10/27/2020,11/1/2020,50,48
71,136515,72739,Mississippi,Data for Progress,B-,562,lv,10/27/2020,11/1/2020,41,55
72,136517,72740,Minnesota,Data for Progress,B-,1259,lv,10/27/2020,11/1/2020,51,43
