FIPStxt,Stabr,area_name,Unemployment_rate_2016,Median_Household_Income_2018
00000,US,United States,4.9,"61,937"
01000,AL,Alabama,5.8,"49,881"
01001,AL,"Autauga County, AL",5.1,"59,338"
01003,AL,"Baldwin County, AL",5.3,"57,588"
01005,AL,"Barbour County, AL",8.3,"34,382"
01007,AL,"Bibb County, AL",6.4,"46,064"
01009,AL,"Blount County, AL",5.4,"50,412"
01011,AL,"Bullock County, AL",6.8,"29,267"
01013,AL,"Butler County, AL",6.9,"37,365"
01015,AL,"Calhoun County, AL",6.5,"45,400"
01017,AL,"Chambers County, AL",5.4,"39,917"
01019,AL,"Cherokee County, AL",5.0,"42,132"
01021,AL,"Chilton County, AL",5.5,"47,547"
01023,AL,"Choctaw County, AL",8.5,"39,907"
01025,AL,"Clarke County, AL",10.8,"40,741"
01027,AL,"Clay County, AL",5.9,"39,201"
01029,AL,"Cleburne County, AL",6.0,"46,495"
01031,AL,"Coffee County, AL",5.8,"55,122"
01033,AL,"Colbert County, AL",6.9,"49,055"
01035,AL,"Conecuh County, AL",8.4,"32,613"
01037,AL,"Coosa County, AL",6.0,"42,423"
01039,AL,"Covington County, AL",6.7,"40,203"
01041,AL,"Crenshaw County, AL",5.8,"39,057"
01043,AL,"Cullman County, AL",5.0,"45,796"
01045,AL,"Dale County, AL",5.8,"45,309"
01047,AL,"Dallas County, AL",9.2,"34,035"
01049,AL,"DeKalb County, AL",6.0,"39,491"
01051,AL,"Elmore County, AL",4.7,"60,367"
01053,AL,"Escambia County, AL",6.6,"38,418"
01055,AL,"Etowah County, AL",5.9,"44,903"
01057,AL,"Fayette County, AL",6.7,"39,254"
01059,AL,"Franklin County, AL",5.9,"39,388"
01061,AL,"Geneva County, AL",5.8,"37,823"
01063,AL,"Greene County, AL",9.9,"28,524"
01065,AL,"Hale County, AL",7.6,"34,724"
01067,AL,"Henry County, AL",6.5,"46,027"
01069,AL,"Houston County, AL",5.8,"47,993"
01071,AL,"Jackson County, AL",6.3,"41,929"
01073,AL,"Jefferson County, AL",5.7,"55,013"
01075,AL,"Lamar County, AL",5.6,"40,936"
01077,AL,"Lauderdale County, AL",6.3,"48,707"
01079,AL,"Lawrence County, AL",6.9,"43,909"
01081,AL,"Lee County, AL",5.2,"48,937"
01083,AL,"Limestone County, AL",5.2,"64,863"
01085,AL,"Lowndes County, AL",10.5,"33,973"
01087,AL,"Macon County, AL",7.6,"32,495"
01089,AL,"Madison County, AL",5.1,"63,755"
01091,AL,"Marengo County, AL",7.1,"37,733"
01093,AL,"Marion County, AL",6.6,"37,887"
01095,AL,"Marshall County, AL",5.3,"46,233"
01097,AL,"Mobile County, AL",6.6,"43,598"
01099,AL,"Monroe County, AL",9.0,"39,556"
